Yemek Adı,Mutfağı,Süresi,Malzemeler,Yapılış
Zeytinli Kanape,Baska,10-20dk,"2 Çorba Kasigi Labne Peyniri  

1 Çorba Kasigi Biber Salçasi  
1 Çorba Kasigi Dövülmüs Ceviz  
1 Çay Kasigi Kimyon  
6 Adet Küçük Sandviç  
Yesil ve Siyah Zeytin  
Margarin","2 çorba kasigi labne peynir, 1 çorba kasigi biber salçasi, 1 çorba kasigi 
dövülmüs ceviz, 1 çay kasigi kimyonu iyice karistirin.  
 
6 adet küçük sandviçe önce margarin sürün. Üzerine hazirladiginiz harci 
sürün. 1 adet siyah, 1 adet yesil zeytin koyup servis yapin."
Çinekop Izgara,Türk,10-20dk,"1 kg. Çinekop 

2 tatli kasigi Tuz 
2 yemek kasigi Zeytinyagi","Baligi temizleyerek, tuzlayin ve süzgeçte 15 dakika bekletin. Bu arada 
izgarayi yaglayip, baliklari yerlestirin. Kömür atesinde ve elektrikli 
izgarada 15 dakika kadar pisirin."
Çiroz (Uskumru),Türk,60dk-Fazla,"100 adet uskumru 
350 gr. mutfak tuzu","Baliklarin hepsini bir kaba koyup üzerine tuz dökün ve iyice karistirin. 12 
saat boyunca bu suda bekletin. Daha sora baliklari temizleyip yikayin. 
Sularini süzdükten sonra üçerli ya da dörderli olarak ipe dizip güneste 

kurutun. Kurutma sirasinda yagmurdan korumaniz gerekir. Bir iki hafta 
sonra çirozlar yenecek kivama gelecektir. Uskumru, nisan ve mayis 
aylarinda kurutmak için uygundur, diger aylarda arzu ederseniz 
istavritlede çiroz yapabilirsiniz"
Deniz Mahsüller ile Spagetti,Türk,20-40dk,"450 gr. kabuklu midye (konserve midye veya istiridye de kullanilabilir.) 
225 gr. ayiklanmis taze vaye dondurulmus küçük karides 
1/2 bardak beyaz sofra sarabi 
4 yemek kasigi zeytinyagi 
2 çay kasigi Sarmisak sosu 
450 gr. soyulup dogranmis domates 
400 gr. Aldente çubuk makarna 
2 yemek kasigi dogranmis taze maydanoz 
Tuz ve karabiber","Midyeleri soguk suda temizleyin ve bir biçakla sakallarini kesin. Kabuklari 
açilana dek sarapla haslayin. Midyeleri bir tabaga çikarin. Açilmamis 
olanlari atin. Pisirme suyunu tekrar kullanmak üzere ayirin. Yagi ve 
sarmisagi 1-2 dk. kavurun. Domatesleri ekleyin. Bir kenara ayirdiginiz 
pisirme suyunu, küçük karidesleri ve maydanozlari da katarak pisirin. Tuz 
ve karabiberi ekleyin. Makarnayi haslayin. 30 cm x45 cm`lik 4 parça 
alüminyum folyo veya parsömen kagidi hazirlayin. Her birini bir tabagin 
üzerine yayin. Ayri bir kapta makarnayi domates sosuyla karistirin. 
Midyeleri ekleyin. Esit miktarda soslu makarnayi folyolara yerlestirin. 
Kenarlarini büküp bohça haline getirin. Bohçalarinizi 150°C isitilmis firinda 
8-10 dk. pisirin. Her bohçayi ayri bir tabaga alarak servis yapin."
Enginarli Levrek,Türk,20-40dk,"2 adet sogan 
10 adet enginar 
2 adet kesme seker 
1 adet limonun suyu 
1 adet levrek 

1 çay bardagi sivi yag 
Yarim demet kiyilmis dereotu 
Tuz, Karabiber","Soganlari dörde bölün. Tencereye koyun. Üzerelerine enginarlari, 2 adet 
kesme seker ve tuz koyup kisik ateste pisirin. Baligi limonlu su ve 
karabiber ile bir gece dolapta bekletin. Ertesi gün hafifçe haslayin. 
Blendirdan geçirin. Enginarlarin ortalarina koyun. Dereotuyla süsleyip 
servis yapin."
Firinda Barbunya,Türk,20-40dk,"1 kg. barbunya baligi 
1/2 su bardagi beyaz sarap 
1/2 su bardagi zeytinyag 
maydanoz","Barbunyalari yikayip tuzladiktan sora bir tepsiye yerlestirin. 
Sarap,maydonoz ve zeytin yagini ekleyip üzerini folyo ile örtün. Öceden 
isitmis oldugunuz firinda yarim saat pisirip servis yapabilirsiniz."
Firinda Lüfer,Türk,60dk-Fazla,"6 adet Lüfer 
2 tatli kasigi Tuz 
3 orta boy Sogan 
1 orta boy Havuç 
3 orta boy Domates 
1 orta boy Limon 
1/4 su bardagi Zeytinyagi 
Kara Biber, Kekik  
1/2 tabaka Yagli Kagit","Baliklari temizleyip, yikayin, tuzla, süzgeçte 15 dakika bekletin. Keskin bir 
biçakla üzerlerine, enine 3 paralel yarik yapin. Bu arada sebzeleri 
yikayarak, sogan havuç ve domatesi yarim santimetre kalinlikta halka 
seklinde dograyin. Limonun kabugunu soyup, halka seklinde dilimleyin ve 
tepsiyi 1 tatli kasigi zeytinyagi ile yaglayin. Soganin yarisini tepsiye 
döseyip, üzerilerine domates ve havuçlari yerlestirin, kalan sogani da 
onlarin üzerine koyarak baliklari sebzelerin üzerine yerlestirin ve 
üzerlerine zeytinyagini gezdirin. Kara biber ve kekigi serpip, en üste 
limonlari dizin. Tepsinin üzerini kagitla kapatarak önceden isitilmis orta 
sicakliktaki firinda yaklasik 40 dakika pisirin."
Firinda Uskumru,Türk,20-40dk,"1 çorba kasigi tereyagi 
4 büyük uskumru fileto (2 büyük uskumru baligindan) 
1 limonun suyu 
Tuz ve ögütülmüs karabiber 

4 defne yapragi 
4 ince limon dilimi 
2 çorba kasigi kapari çiçegi 
4 çorba kasigi krema (75 ml.)","4 parça alüminyum folyoyu dikdörtgen seklinde kesin ve yaglayin. 
Yaglanmis folyolara uskumru filetolari yerlestirin. Üzerlerine tuz ve 
karabiber serpin. Her filetonun üstüne 1 adet defne yapragi, 1 sap 
maydanoz ve 1 dilim limon yerlestirin. Kapariyi 4 fileto arasinda 
paylastirin, alüminyum folyonun kenarlarini kaldirarak filetolarin üstüne 
birer çorba kasigi krema dökün. Folyolari kapatin ve tas izgaranin üzerinde 
baliklar pisene kadar (15 dk.) pisirin. Folyolari krema dökülmeyecek 
sekilde açin ve baligi folyo ile birlikte tabaga yerlestirip servis yapin."
Hamsi Köftesi,Türk,20-40dk,"1 kg. Hamsi 

3 orta dilim Ekmek (bayat) 
1 adet Yumurta 
2 yemek kasigi Sivi yag 
Tuz, Kara Biber, Yenibahar 
1 1/2 demet Maydanoz","Baliklari temizleyerek kilçigini çikartin ve ince ince kiyin. Ekmegin 
kabugunu çikartip islatin. Iyice sik ufalayarak hamsinin içine katin. Misir 
ununun yarisini, yumurtayi, tuzu ve baharati koyun. Maydanozlari ince 
ince kiyip, karisima ekleyin. Bütün malzemeyi iyice yogurup, yumurta 
büyüklügünde parçalara ayirip elle sekil vererek yassi köfteler yapin. 
Teflon tavaya yag koyup, kizdirin. Köfteleri geri kalan una bulayarak 
kizartin."
Hamsili Içli Tava,Türk,20-40dk,"1 kg hamsi 

1/2 kg pirinç 
3 bas orta boy sogan 
2 kahve fincani kusüzümü 
1 tatli kasigi karabiber 
1,5 kahve fincani çamfistigi 
1 su bardagi ayçiçek yagi 
yeteri kadar tuz 
300 gr. tereyag","Ince ince dogranmis soganlar 1/2 su bardagi zeytinyaginda 
pembelesinceye kadar kavrulur. Iyice yikanmis ve süzülmüs pirinç 
çamfistigiyla birlikte soganin içine katilir. 2-3 dakika kavrulduktan sonra 3 
su bardagi sicak su ve yag katilir. Tencerenin kapagi örtülerek pilav 
pisirilir. Diger tarafta hamsiler kilçiklarindan ayrilarak fileto haline getirilir. 
Hamsilerin yarisi tavaya bir sira dizilir. Pisen ve henuz dinlendirilmemis 
durumdaki pilava kusüzümü katildiktan sonra pilav hamsilerin üstüne 
bosaltilir. Pilavin üstüne de kalan hamsiler dizildikten sonra çok hafif 
ateste alt üst edilerek kizartilir. Sonra ters çevrilerek servis tabagina 
bosaltilir ve sicak sicak servis yapilir."
Hamsili Pilav,Türk,20-40dk,"1/2 kilo kilçigi ayiklanmis hamsi 
2 bas sogan 
1 paket margarin 
4,5 su bardagi pirinç 
3 yemek kasigi 
4 dolma fistigi 
2 yemek kasigi kus üzümü 
4 su bardagi su","Dolma fistigini yagda kavurun. Kus üzümü ilave edin. Soganlari ince ince 
dogradiktan sonra yagda kavurun. 4 bardak suyu ilave edin. Su 
kaynadiktan sonra pirinci ilave edin. Pirinç pistikten sonra bir tepsiye bir 
kat hamsi dizin. Tepsiye dizdiginiz hamsilerin üzerine pisirdiginiz pilavi 
yayin. Pilavin üzerine bir kat daha hamsi dizdikten sonra firinda pisirin. 
Hamsiler kizardiktan sonra firindan alin. Servis yapin."
Izgara Kalamar,Türk,20-40dk,"400 gr. kalamar  
Küçük bir roka demeti 
1/2 limonun suyu 
1 çay kasigi taze ögütülmüs karabiber 
1/2 su bardagi zeytinyagi (125 ml.)  
2 çay kasigi toz seker 
1 çay kasigi karbonat 
2 çorba kasigi soya sosu (30 ml.) 
3 dis dövülmüs sarmisak","Zeytinyagi, limon suyu, toz seker, karbonat, soya sosu, sarmisak, tuz ve 
karabiberi bir kapta iyice çirparak karistirin. Terbiye sosunun 3 çorba 
kasigini kenara ayirin. Kalamarlari yikayip içlerini temizledikten sonra,7.5 
cm`lik parçalar halinde kesin. Ayak kisimlarini ise iki parçaya ayirin. 
Hazirlamis oldugunuz terbiye sosunu kalamarlarin üstüne dökün ve 30 dk. 
kadar buzdolabinda bekletin. Kalamarlari terbiye sosundan alin ve kokusuz 

izgarada 5 dk. pisirin. Ters yüz edin ve öbür yüzlerini de 5 dk. kadar 
pisirin. Izgarada pisirmis oldugunuz kalamarlari rokanin üstüne yerlestirin. 
Bir kenara ayirmis oldugunuz 3 çorba kasigi terbiye sosunu üzerlerine 
döküp servis yapin."
Kagitta Balik,Türk,40-60dk,"1 kg. Kefal 
1 büyük boy Sogan 
6 dis Sarimsak 
3 orta boy Patates 
6 orta boy Yesil biber 
3 orta boy Domates 
1/2 demet Maydanoz 
2 tabaka Yagli Kagit 
3 yemek kasigi Zeytinyagi 
2 1/3 tatli kasigi Tuz","Baliklari temizleyin üzerlerine 1 tatli kasigi tuz serpip, süzgeçte 15 dakika 
bekletin. Sogan, sarimsak ve patatesi soyun, biberlerin sap, çekirdek 
kisimlarini çikartin ve sogan, patates, biber ve domatesleri yarim 
santimetre kalinlikta halka seklinde dograyin. Maydanozu kiyin. Kagidi 
ikiye katlayip, bir balik alabilecek büyüklükte kesin. Domates ve patatesin 
yarisini kagitlarin üzerine yayin. Aralarina sarimsak, biber, sogan ve 
maydanozu serpistirin. Baliklari yerlestirip, üzerini kalan domates ve 
patates dilimleriyle kapatin. Tuzun kalanini ekleyerek, yagi gezdirin. 
Kagidin karsilikli kenarlarini üst üste kapatin ve önceden isitilmis orta 
sicakliktaki firinda 40 dakika kadar pisirin."
Kalamarli Karides Güveç,Türk,20-40dk,"1 paket dondurulmus karides 
1 paket dondurulmus kalamar 
1 küçük kavanoz mantar konservesi 
2 çorba kasigi tereyagi 
2 adet domates 

3 adet sivribiber 
3 dis sarimsak 
Karabiber, tuz 
1 paket dilimlenmis tost kasari","Tereyagini eritin. Ince kiyilmis mantarlari, ufak dogranmis sivribiberleri, 
ortadan ikiye kesilmis sarmisaklari ilave edin. Karidesleri ve dogranmis 
kalamarlari ekleyin. 3-4 dakika karistirarak sote edin. Küp seklinde 
dogranmis domatesleri, tuz ve karabiberi ekleyin. Tavanin kapagi kapali 
olarak 5 dakika pisirin. Hazirladiginiz karisimi yaglanmis güveç kabina 
koyun. Üzerine peynir dilimlerini yerlestirin. Güveci, 200 derece isitilmis 
firinda karides ve kalamar pisip, peynir eriyinceye kadar tutun. Sicak 
olarak servis yapin."
Kalkan Tava,Türk,20-40dk,"1 kg. Kalkan 

1/4 su bardagi Un 
6 1/2 yemek kasigi Sivi yag (kizartmak için)","Baligi temizleyin ve birer porsiyonluk parçalara bölüp tuzlayin. SDüzgeçte 
15 dakika bekletip, unlayarak kizdirilmis derin yagda kizartin."
Karides Pilaki,Türk,20-40dk,"1/2 kg. karides 
2 yemek kasigi sirke 
2 orta boy sogan 
2 dis sarimsak 
1 havuç 
1 büyük patates 
1 büyük domates 
1 çay bardagi siviyag 
2 yemek kasigi kiyilmis maydanoz 

tuz","Karidesleri tuzlu ve sirkeli suda 7-8 dakika haslayin. Ince dogranmis sogan 
ve verevine dogranmis havuçlari, siviyagda karistirarak kavurun. Sonra 
dogranmis domatesleri ve sarimsaklari katip 3-4 dakika daha pisirin. Iki 
bardak su ekleyin. Kaynamaya baslarken, zar biçiminde dogranmis 
patates ve karidesleri katin. Yeterince tuz ve biber koyup kisik ateste 
pisirin. Servisten önce üzerine kiyilmis maydanoz serpin."
Karidesli Makarna,Italya,20-40dk,"500 gr. makarna 
100 gr. kasar peyniri 
100 gr. midye (dondurulmus) 
100 gr. karides (dondurulmus) 
40 gr. margarin 
1 adet sogan 

1/2 demet maydanoz 
2-3 yemek kasigi sarap 
3 yemek kasigi un 
1 su bardagi et suyu 
Kekik 
Karabiber 
Tuz","Soganlari küp seklinde dograyin, yesilligi kiyin, peyniri rendeleyin. 
Makarnayi tuzlu suda haslayin. Soganlari yagda pembelestirin. Içine unu 
ilave edin. Karides ve midyeleri soganlari katip 1 dakika kavurun. Sarabi 
ekleyin. Et suyunu koyup bir tasim kaynatin. Maydanoz ve kekigi katip 
tuz, karabiber ile tatlandirin. Hazirladiginiz makarna ile karistirip 
rendelenmis kasar peyniri serptikten sonra servis yapin."
Kiremitte Balik,Türk,40-60dk,"1 kg. Barbunya baligi 
1 orta boy Sogan 
2 küçük boy Domates 
1 tabaka Yagli Kagit 
3 yemek kasigi Tereyagi","Baliklari temizleyip, tuzlayin ve süzgeçte 15 dakika bekletin. Domates ve 
sogani yarim santimetre kalinlikta yarim daire seklinde dograyin. Temiz 
kiremit üzerine yagli kagittan iki kat yayip, baliklari kagidin üzerine 
düzgünce yerlestirin. Üzerlerine, birer dilim sogan ve domates koyun ve 
hafif erimis tereyagi gezdirin. Önceden isitilmis orta sicakliktaki firinda 
yaklasik 40 dakika pisirin."
Lüfer Köftesi,Türk,20-40dk,"2 adet lüfer 
3 adet yumurta 

2-3 dilim bayat ekmek 
1 tatli kasigi toz seker 
1 kahve fincani çamfistigi 
1 kahve fincani kusüzümü 
Tuz, karabiber, yenibahar 
Kizartmak için: 
1 su bardagi sivi yag 
3 çorba kasigi un","Basi ve kuyrugu temizlenip yikanmis lüferleri iki üç parçaya ayirin. Bir 
tencereye koyun, üstünü örtecek kadar su ekleyin, tencerenin kapagi açik 
olarak 15 dakika haslayin. Haslama sirasinda üzerinde olusan köpükleri 
alin. Lüferin derisi ve kilçiklarini ayirdiktan sonra küçük didikleyin. Baliga 
ufalanmis ekmek içi, yumurta, rendelenmis sogan, tuz, seker, yenibahar, 
kusüzümü ve çamfistigini ilave edip yogurun. Harçtan yuvarlak köfteler 
hazirlayip, una bulayin. Lüfer köftelerini kizdirilmis sivi yagda altin sarisi 
renk alincaya kadar kizartin. Sicak olarak servis yapin"
Mantarli Dil Baligi,Türk,20-40dk,"8 adet dil filetosu 
200 gr. mantar 
2 yumurta 
1/2 limon 
brandy 
sek beyaz sarap 
sarimsak 
biberiye 
zeytinyagi 
tuz, karabiber","Balik filetolarini yikayip kurutun. Mantarlari iyice temizledikten sonra ince 
ince dilimleyin ve üzerine biraz zeytinyagi gezdirin. Bir tencerede baliklari, 
yarim bardak sarabi ve bir kadeh brandy&#8217;yi koyun. Bir dis 
sarimsak, bir bag biberiye, tuz ve karabiber ekleyip kisik ateste 15 dakika 
pisirin. Baliklari çikarin ve mantarlarin yanina ekleyin. Sicak tutun. Öte 
yanda baligin pistigi sosu süzüp, yüksek ateste kaynatin. Kivami biraz 

koyulasmali. Atesi kisip yumurtalarin sarisini, dört kasik zeytinyagi ve 
birkaç damla limon suyunu ekleyin ve süratle karistirarak pisirin. 
Yumurtalar karisima dagildiginda ocaktan alin. Filetolari, mantarlarla 
beraber bir tabaga yerlestirin ve sosu üzerine dökerek servis edin."
Palamut Baligi Köftesi,Türk,20-40dk,"2 adet palamut baligi 
1 adet büyük sogan 
2 dilim ekmek içi 
3 adet yumurta 
tuz, karabiber, kekik 
maydanoz 
kizartmak için siviyag","Baliklar temizlenip tuzlu suda 10-15 dakika haslanir. Soguyan baliklarin 
kilçiklari çikarilip etleri ince ince kiyilir. Kiyilan balik etlerine ufalanmis 

ekmek içi, rendelenmis sogan, karabiber, kekik, maydanoz ve yumurtalar 
ilave edilerek iyice yogurulur. Yumurta büyüklügünde parçalar alinip köfte 
sekli verilir. Unlanir. Kizdirilmis yagda kizartilir. Kagit peçete üzerine alinip 
sicak servis yapilir."
Palamut Firinda,Türk,20-40dk,"2 adet palamut 
4 adet büyük domates 
1 bas sogan 
3 çorba kasigi zeytinyagi 
1 limon","Baliklar temizlenir. Iyice yikandiktan sonra baliktan ikiser fileto çikarilir. 
Zeytinyagiyla yaglanmis tepsiye balik filetolari içleri yukari gelecek 
biçimde yerlestirilir. Tuz ve karabiber serpildikten sonra rendelenmis ve 
sikilarak suyu alinmis sogan üstüne yayilir. Dilimlenmis domatesleri de 

baliklarin üstüne ve çevresine yaydiktan sonra, çesitli biçimlerde kesilmis 
limon dilimleriyle süslenir. Kalan zeytinyagi da gezdirilerek dökülür ve 
tepsi orta isili firina sürülür. Baliklar pisince firindan çikarilir ve servis 
yapilir."
Patatesli Somon,Fransa,20-40dk,"2 iri boy patates (1/2 cm. kalinliginda halkalar halinde kesilmis) 
8 çorba kasigi tereyagi (120 gr.) 
1/2 kg. somon file (halka kestiginiz patateslere uygun sekilde 2 1/2 cm. 
kalinliginda kesilmis) 
4 dis sarmisak 
1/2 su bardagi rende kasar peyniri (100 gr.) 
4 çorba kasigi dereotu 
Tuz, taze ögütülmüs karabiber 
1/3 su bardagi krema (100 ml.) 
3 çorba kasigi maydanoz ve 2 çorba kasigi dereotu 
2 dilim beyaz tost ekmegi (ekmek kizartma makinesinde kizartilmis)","Firini 200 °C`de isitin. Patates halkalarini fritözünüzde hafif renk 
degistirinceye kadar (170 °C`de 2 dk.) kizartin. Kagit havluyla yagini alin. 
Firin tepsisini tereyaginin yarisi ile yaglayin. Tepsiye önce kizarmis patates 
dilimlerini, sonra parça kesilmis somon dilimlerini dizin. Üstüne kremanin 
yarisini ve dereotunu ekleyin. Tekrar patates dilimlerini dizin. Kalan 
tereyagini, patates dilimlerinin üstüne findik büyüklügünde parçalar 
halinde koyun. Tepsiyi folyoyla kapatip 15 dk. kadar firinda pisirin. Bu 
arada tost ekmeklerini, ekmek kizartma makinesinde hafif pembelesinceye 
kadar kizartin. Kizarmis ekmekleri, sarmisak, maydanoz, tuz ve biberle, 
ekmekler çok küçük parçalar haline gelene kadar robotun ana haznesinde 
ögütün. Tepsiyi firindan alip bu karisimi patateslerin üstüne dökün ve 
üstünü kapatmadan 10-15 dk. kadar, kitir olana dek pisirin. Firindan 
çikmadan birkaç dakika önce kalan kremayi ve kasar peynirini üstüne 
dökün. Kasar peynirleri eriyene kadar firinda tutun."
Salmonlu Dil Baligi Filetosu,Fransa,20-40dk,"1 adet iri pirasa 
4 adet dil baligi (fileto edilmis) 
80 gr. salmon füme 
10 gr. orta boy mantar 
4 adet soyulmus kornison tursu 
1 adet sakiz kabagi 
1 adet iri boy sogan 
1 adet sikilmis limon suyu 
2 adet patates 
1 çay fincani krema 
1 çorba kasigi Worcester sos 
1 su bardagi balik velutesi 
4 adet taze defne yapragi 
 
süslemek için:  
1 çorba kasigi kapari çiçegi 
1/8 demet maydanoz 
1/8 demet dereotu 
1 çorba kasigi toz badem 
1 çorba kasigi tereyagi 
2 çorba kasigi beyaz sarap 
1 çorba kasigi konyak 
Yeterince tuz","Pirasanin dis yapraklarini 30 dk. haslayin ve buzlu suya atin. Dil baliklarini 
fileto ettikten sonra incecik dövün ve çalisma tahtasini hafif islatarak 
birbirine birlestirip dizin. Salmon füme dilimlerini de üzerine siralayip, 
pirzola demiri ile vurarak birbirine pekismesini saglayin. Patatesleri küçük 
sato patates olarak haslayin. Defne yapragi, krema, toz badem ve 
baharatlarin disindaki malzemeleri dograyip tereyaginda sote edin. 
Baharatlarla tatlandirip toz badem, worcester sos, dereotu ve maydanozu 
da ekleyin. Hazirladiginiz için yarisini, bohça seklindeki balik filetosunun 
içine yayin. Rulo seklinde sarip, 180°C`de 10 dk. pisirin. Ve pirasa 
yapraklarinin içine sarin. Baharatlarla da disini tatlandirin. Ve 3 dk. firinda 
bekletin. Kalan iç malzemenin içine beyaz sarap, konyak, krema ve balik 
velutesi ekleyip, sos oluncaya kadar kaynatin. Haslamis oldugunuz 
patatesleri tereyaginda sote edip üzerine maydanoz serpistirin. Tabagin 
dibine sos döküp, rulo halindeki baligi esit parçalara bölün ve tabaklara 
koyarak servise sunun."
Sebzeli Balik Bugulama,Türk,40-60dk,"500 gram balik filetosu (ayiklanmis, kilçiksiz) 
2 orta boy domates 
2 sivri biber 
3 adet taze sogan 
2 sap kereviz yapragi 
1 küçük havuç 
1 defne yapragi 
2 dis sarmisak 
2 dal taze rezene (veya 1 çay kasigi rezene tohumu) 
yarim limon 
tuz, karabiber 
1 yemek kasigi zeytinyagi.","Balik filetolarini yikayip kurulayin, iki taraflarina da tuz ve karabiber 
serpin. Domatesi sicak suya sokup çikartin, kabugunu soyun, küçük 
parçalar halinde dograyin. Sivri biberleri yikayin, sap ve tohumlarini atin, 
halkalar halinde dograyin. Taze sogan ve pirasanin dis kabuklarini soyun, 
yuvarlak dograyin. Kereviz yapragini yikayin, kurulayin. Havucu kaziyin, 
kibrit çöpü seklinde dograyin. Sarmisagi soyun, uzunlamasina ikiye bölün. 
Rezene dallarini yikayin kurulayin.Yarim limonun çekirdeklerini çikartin, 
kabugunu soyun, yuvarlak dilimleyin. Bütün sebzeleri bir kapta karistirin, 

yarisini tencerenin dibine yayin. Baliklari sebzelerin üzerine yerlestirin, 
baliklarin üzerine kalan sebzeleri dagitin, tuzunu ve karabiberini ekleyin, 
zeytinyagini gezdirin, yarim bardak su koyun, tencereyi kisik atese oturtup 
20-25 dakika süre ile pisirin. Yaninda limon ile scak servis yapiniz."
Somon Füme Florantin,Fransa,20-40dk,"200 gr. Somon Füme 
125 gr. Un 
250 gr. Süt 
50 gr. Süzme Yogurt 
100 gr. Krema 
100 gr. Mayonez 
70 gr. Ketçap 
1/4 adet Yumurta 
2 adet yumurta 
200 gr. ispanak 
3 gr. siyah havyar 
30 gr. ayçiçek yagi 

5 gr. tuz","Ispanakli Krepin yapilisi:  
Süt, un, yumurta ve tuz çukur bir kabin içerisinde çirpilir. Daha sonra ince 
süzgeçten geçirilir. Içine temizlenip haslanmis ispanak yapraklari 
blender`da püre haline getirilerek eklenir. Yesil bir renk alincaya kadar 
iyice karistirilir. Krepler teflon tavaya ince olarak dökülür ve sogumaya 
birakilir. 
 
Diger bir kapta krema çirpilarak köpürtülür. Içine süzme yogurt ve ince 
dogranmis olan maydanoz, dereotu, sarimsak eklenerek karistirilir. 
Hazirlanan bu karisim kreplerin arkasina ince bir sekilde sürülür. Onun 
üzerine somon fümeler siralanir, Siki olarak rolade seklinde sarilir. 
Buzdolabinda 1 saat dinlendirildikten sonra kesilir."
Sütlü Balik,Türk,20-40dk,"500 gram beyaz etli balik (levrek, dil, çipura) 
2 kasik krema 
yarim su bardagi süt 
2 dis sarmisak 
1 limonun suyu 
1 çay kasigi tuz 
 
Besamel sosu için:  
2 yemek kasigi un,  
4 yemek kasigi sivi yag,  
1 su bardagi süt, 
 2 yemek kasigi rende kasar peyniri.","Balik filetolarini ince seritler halinde kesin, firina girecek bir tepsi veya 
yayvan cam kaba yanyana dizin. Sarmisagi ayiklayin, 1 çay kasigi tuz ile 
havanda dövün. Havana krema ve limon suyunu ekleyin, iyice karistirin, 
baliklarin üzerine dökün, önceden isitilmis firinda 15-20 dakika pisirip, 
çikartin. Bir tencereye sivi yagi koyun, isininca unu ekleyin, rengi dönene 
kadar yakmadan kavurun, yavas yavas sütü ilave ederek karistirmaya 
devam edin, topaksiz sulu bir bulamaç kivamina gelince firin tepsisindeki 
baliklarin üzerine dökün. Rende kasari ekip tekrar firina sokun, üstü 
kizarinca çikartip sicak olarak servis edin"
Tahinli Balik,Türk,40-60dk,"6 fener baligi filetosu (1 kg. 250 gr.) 
2 limon suyu 
5 çorba kasigi zeytinyagi (75 ml.) 
2 büyük kuru sogan 
4 çorba kasigi tahin (60 ml.) 
3 dis sarmisak 
1/2 su bardagindan biraz az su (100 ml.) 
Tuz, taze ögütülmüs karabiber","Firininizi önceden 180 °C`de isitin. Baliklarinizi fazla derin olmayan bir 
firin kabina yerlestirin. 2 çorba kasigi limon suyu tuz, biber ve 2 çorba 
kasigi zeytinyagini dökün ve 15 dk. pisirin. Soganlari kiyin ve geri kalan 
zeytinyaginda kavurun. Tahin ve sarmisagi, bir miktar tuzla bir kabin 
içinde çirpin; yavas yavas su ve geri kalan limon suyunu ilave edin. 

Karisiminiz krema haline gelinceye kadar çirpmaya devam edin. 
Pisirdiginiz baliklari firindan alin, üzerlerine kavrulmus soganlari 
serpistirin. Tahinli sosu da ilave ederek 15 dk. daha pisirin.Beyaz pilav ve 
rokayla servis yapin."
Yogurtlu Tekir Baligi,Türk,20-40dk,"12 adet tekir baligi 
1 su bardagi yogurt 
2 dis sarmisak 
kirmizi pul biber, tuz, un","Tekir baliginin pullarini biçagin sirti ile kaziyin. Kafalarini hafifçe tuzlayin. 
Yogurdu en az bir saat oda isisinda tutun. Sarmisaklari ayiklayin. Ezin, 
yogurda ekleyin ve karistirin. Tavada yagi kizdirin, baliklari una batirin, 
yaga atip iki taraflarini da kizartin. Çikartinca kagit üzerine alip fazla yagini 

süzün. Servis tabagina aldiginiz baliklarin üzerine sarmisakli yogurdu 
dökün. Üzerine pul biberi ekin. Sicak servis yapin."
Acibadem Kurabiyesi,Türk,20-40dk,"Yumurta Beyazi 2 Adet  
  Çekilmis Badem 
 1 su bardagi   
  Pirinç Unu ¼ su bardagi   
  Toz Seker 
 ¾ su bardagi   
  Tuzsuz Kabuksuz Badem","Önce firininizi orta sicakliga (170 derece) getirin. Firin tepsisine yagli kagit 
serin. Yumurta beyazlarini çirparak kar haline getirin. Çekilmis badem, 
pirinç unu ve sekeri ilave edin. Hazirladiginiz bu karisimdan birer dolu tatli 
kasigi alarak, genis araliklarla yagli kagidin üstüne koyun. Serin bir yerde 

10 dakika beklettikten sonra ortalarina badem oturtun. 25 dakika 
kurabiyelerin rengi hafif kahverengimsi olup sertlesene kadar pisirin. 
Acibadem kurabiyelerini yagli kagittan çikarip, sogumasi için bir servis 
tabagina yerlestirin"
Agaç Kurabiye,Türk,20-40dk,"1 yumurta 
100 g margarin 
1 çay bardagi toz seker 
1 paket vanilya 
1,5-2 su bardagi un 
1 paket kabartma tozu 
1,5 yemek kasigi kakao 
 
Üzeri için:  
1 tatli kasigi hindistancevizi,  
1 tatli kasigi toz seker,  
1 yemek kasigi findik kirigi","Yumurta, margarin, toz seker, sekerli vanilin, un ve hamur kabartma tozu 
ile yumusak bir hamur hazirlayin. Hamuru ikiye bölüp yarisina kakao ilave 
edin ve iyice yogurun. Her iki hamuru da 0,5 cm kalinliginda açin.  
Kakaolu hamurdan agaç gövdesi sekli çikartin ve yagli kagit serilmis büyük 
firin tepsisinin alt kismina yerlestirin (üst kismina yapraklar dizilecek). 
Kalan hamurlardan kalip yada biçak yardimi ile degisik yaprak sekilleri 
kesin. Üzerlerine su sürün, hindistancevizi, toz seker ve findik kirigi serpin. 
Bu iki renkli yapraklari agaç gövdesinin üst kismina daginik bir sekilde 
(agaç dallari gibi), distan içe dogru siralayin. Üzerlerine tekrar su sürün, 
ikinci sira yaprak dizin ve önceden isitilmis 160 dereceli firinda 15-25 
dakika pisirin."
